date,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume
2018-01-24,11356.79,,15159.74617502,1056.99,,157025.9041844
2018-01-25,11118.0,,13803.3994887,1040.0,,170404.74805818
2018-01-26,11086.89,,19343.28195401,1045.57,,145279.96709597
2018-01-27,11319.0,,12301.187315,1100.0,,120969.27298683
2018-01-28,11536.0,,13684.87204513,1215.01,,178932.35566459
2018-01-29,11123.01,,11166.05984506,1162.27,,132320.79156191
2018-01-30,9995.0,,27589.87336945,1054.39,,243673.8356597
2018-01-31,10099.99,,19533.73809729,1105.01,,178928.93139615
2018-02-01,9014.23,,38171.97003425,1017.48,,341682.45401305
2018-02-02,8787.52,,52039.26807721,911.99,,589204.00296477
2018-02-03,9240.0,,23700.98508963,969.4,,198329.83958329
2018-02-04,8167.91,,24062.18195663,826.0,,218636.51378989
2018-02-05,6905.19,,59578.69822102,693.54,,620562.56650555
2018-02-06,7688.46,,91895.11062729,783.83,,761461.38006203
2018-02-07,7575.75,,50916.57889564,750.04,,361972.28375423
2018-02-08,8218.1,,31649.57658512,812.0,,185681.09842313
2018-02-09,8671.01,,27558.51614051,875.99,,168813.92673636
2018-02-10,8547.49,,24910.69248868,849.47,,160263.60599544
2018-02-11,8072.99,,16804.11338411,811.35,,104311.85730828
2018-02-12,8872.28,,19718.28616707,864.4,,90918.31734928
2018-02-13,8520.01,,13952.55754805,840.49,,72295.28036275
2018-02-14,9472.98,,24374.64430846,920.26,,173283.37319094
2018-02-15,10031.23,,32372.79739747,929.3,,140117.88456704
2018-02-16,10167.49,,17843.54690778,936.02,,83382.83414035
2018-02-17,11121.5,,20781.56168216,974.99,,75150.09895847
2018-02-18,10380.04,,26975.93580105,912.41,,100689.1761804
2018-02-19,11140.0,,17634.43505308,939.01,,53604.18377857
2018-02-20,11235.57,,28425.12094891,884.76,,120862.01182593
2018-02-21,10454.27,,30042.03089218,840.34,,135641.91857835
2018-02-22,9830.0,,28095.90851163,806.0,,105441.6326386
2018-02-23,10144.99,,20779.94318193,854.01,,105258.56447565
2018-02-24,9688.62,,19729.38570667,833.2,,66461.87856069
2018-02-25,9597.99,,11707.16167099,841.96,,39655.67873162
2018-02-26,10300.0,,19118.9938219,867.09,,67394.02255544
2018-02-27,10566.57,,18240.52935154,871.07,,65115.19154972
2018-02-28,10307.27,,19688.06956326,849.99,,60718.84772108
2018-03-01,10895.92,,15390.55106388,868.74,,51017.46336265
2018-03-02,11000.0,,13838.03908182,854.31,,46202.19655424
2018-03-03,11432.5,,13198.55336472,854.34,,35046.64999677
2018-03-04,11469.9,,8635.84247054,861.74,,36135.5736882
2018-03-05,11377.54,,11051.44857722,848.83,,40939.49250903
